address,is_depot,lat,lng
"3634 W Market St, Fairlawn, OH 44333",true,41.135762259364,-81.629313826561
"512 Florida Pl, Barberton, OH 44203",,41.003671512008,-81.598461046815
"512 Florida Pl, Barberton, OH 44203",,41.003671512008,-81.598461046815
"3495 Purdue St, Cuyahoga Falls, OH 44221",,41.162971496582,-81.479049682617
"1659 Hibbard Dr, Stow, OH 44224",,41.194505989552,-81.443351581693
"2705 N River Rd, Stow, OH 44224",,41.145240783691,-81.410247802734
"10159 Bissell Dr, Twinsburg, OH 44087",,41.340042114258,-81.421226501465
"367 Cathy Dr, Munroe Falls, OH 44262",,41.148578643799,-81.429229736328
"367 Cathy Dr, Munroe Falls, OH 44262",,41.148578643799,-81.429229736328
"512 Florida Pl, Barberton, OH 44203",,41.003671512008,-81.598461046815
"559 W Aurora Rd, Northfield, OH 44067",,41.315116882324,-81.558746337891
